,Unnamed: 0,Rank,player_name,position,"Team Currently With","Age",Contract_Length,AAV,team_x,TOI_22_23,Goals_22_23,A1_22_23,iCF_22_23,ixG_22_23,Giveaways_22_23,Takeaways_22_23,GAR_22_23,WAR_22_23,SPAR_22_23,team_y,TOI_23_24,Goals_23_24,A1_23_24,iCF_23_24,ixG_23_24,Giveaways_23_24,Takeaways_23_24,GAR_23_24,WAR_23_24,SPAR_23_24,team,TOI_24_25,Goals_24_25,A1_24_25,iCF_24_25,ixG_24_25,Giveaways_24_25,Takeaways_24_25,GAR_24_25,WAR_24_25,SPAR_24_25,TOI%_22_23,TOI%_23_24,TOI%_24_25,prev_cap_hit_pct
1049,1049,T236,philip tomasino,C,"PIT
                     PIT",23,1,825000.0,NSH,483.42,5.0,10.0,102.0,5.9,15.0,10.0,3.0,0.5,1.0,NSH,515.53,7.0,7.0,112.0,6.87,28.0,16.0,-0.1,0.0,0.0,NSH,124.32,0.0,0.0,27.0,2.03,8.0,2.0,5.1,0.8,1.6,1.9651219512195100,2.095650406504070,0.5053658536585370,0.9428571428571430
1050,1050,T236,philip tomasino,C,"PIT
                     PIT",23,1,825000.0,NSH,483.42,5.0,10.0,102.0,5.9,15.0,10.0,3.0,0.5,1.0,NSH,515.53,7.0,7.0,112.0,6.87,28.0,16.0,-0.1,0.0,0.0,PIT,376.58,7.0,4.0,78.0,4.92,10.0,5.0,0.2,0.0,0.1,1.9651219512195100,2.095650406504070,1.5308130081300800,1.0416666666666700
1051,1051,T236,philip tomasino,C,"PIT
                     PIT",23,1,825000.0,NSH,483.42,5.0,10.0,102.0,5.9,15.0,10.0,3.0,0.5,1.0,NSH,515.53,7.0,7.0,112.0,6.87,28.0,16.0,-0.1,0.0,0.0,PIT,376.58,7.0,4.0,78.0,4.92,10.0,5.0,5.1,0.8,1.6,1.9651219512195100,2.095650406504070,1.5308130081300800,1.012269938650310
1052,1052,T240,parker wotherspoon,D,"BOS
                     BOS",26,1,800000.0,NYI,159.92,0.0,0.0,17.0,0.27,1.0,4.0,1.3,0.2,0.4,BOS,726.83,0.0,1.0,80.0,0.73,23.0,12.0,0.5,0.1,0.2,BOS,535.1,1.0,1.0,60.0,0.86,44.0,11.0,-1.4,-0.2,-0.4,0.6500813008130080,2.95459349593496,2.1752032520325200,0.9785932721712540
1053,1053,T240,trevor lewis,C,"LAK
                     LAK",37,1,800000.0,CGY,993.88,9.0,6.0,224.0,11.97,13.0,29.0,-2.3,-0.4,-0.7,L.A,954.05,8.0,6.0,211.0,12.6,17.0,15.0,0.9,0.2,0.3,L.A,423.12,3.0,2.0,76.0,3.6,13.0,2.0,-3.3,-0.5,-1.0,4.040162601626020,3.878252032520330,1.72,0.9785932721712540
1054,1054,T240,calvin de haan,D,"COL
                     COL",33,1,800000.0,CAR,717.27,2.0,4.0,153.0,2.97,17.0,15.0,3.7,0.6,1.2,T.B,980.65,3.0,3.0,163.0,2.11,23.0,11.0,1.0,0.2,0.3,COL,598.15,0.0,4.0,120.0,1.53,31.0,4.0,2.6,0.4,0.8,2.915731707317070,3.986382113821140,2.43150406504065,0.9696969696969700
1055,1055,T240,tyler motte,C,"DET
                     DET",29,1,800000.0,NYR,265.52,5.0,2.0,77.0,5.24,5.0,11.0,1.6,0.3,0.5,T.B,859.75,6.0,2.0,177.0,7.65,14.0,41.0,-0.3,0.0,-0.1,DET,344.2,2.0,1.0,80.0,4.83,12.0,13.0,3.9,0.6,1.2,1.079349593495940,3.494918699186990,1.3991869918699200,0.9580838323353290
1056,1056,T240,tyler motte,C,"DET
                     DET",29,1,800000.0,NYR,265.52,5.0,2.0,77.0,5.24,5.0,11.0,-1.4,-0.2,-0.5,T.B,859.75,6.0,2.0,177.0,7.65,14.0,41.0,-0.3,0.0,-0.1,DET,344.2,2.0,1.0,80.0,4.83,12.0,13.0,3.9,0.6,1.2,1.079349593495940,3.494918699186990,1.3991869918699200,0.9142857142857140
1057,1057,T240,tyler motte,C,"DET
                     DET",29,1,800000.0,OTT,513.98,3.0,5.0,107.0,7.37,22.0,18.0,1.6,0.3,0.5,T.B,859.75,6.0,2.0,177.0,7.65,14.0,41.0,-0.3,0.0,-0.1,DET,344.2,2.0,1.0,80.0,4.83,12.0,13.0,3.9,0.6,1.2,2.089349593495940,3.494918699186990,1.3991869918699200,1.0101010101010100
1058,1058,T240,tyler motte,C,"DET
                     DET",29,1,800000.0,OTT,513.98,3.0,5.0,107.0,7.37,22.0,18.0,-1.4,-0.2,-0.5,T.B,859.75,6.0,2.0,177.0,7.65,14.0,41.0,-0.3,0.0,-0.1,DET,344.2,2.0,1.0,80.0,4.83,12.0,13.0,3.9,0.6,1.2,2.089349593495940,3.494918699186990,1.3991869918699200,0.98159509202454
1059,1059,T240,nate schmidt,D,"FLA
                     FLA",32,1,800000.0,WPG,1311.1,7.0,5.0,245.0,5.85,50.0,21.0,-2.0,-0.3,-0.7,WPG,1059.42,2.0,4.0,168.0,3.43,26.0,17.0,1.2,0.2,0.4,FLA,895.32,4.0,6.0,130.0,2.45,62.0,23.0,5.2,0.9,1.6,5.329674796747970,4.306585365853660,3.6395121951219500,0.9785932721712540
1060,1060,T240,nick cousins,C,"OTT
                     OTT",31,1,800000.0,FLA,871.02,9.0,8.0,176.0,10.23,18.0,20.0,0.4,0.1,0.1,FLA,840.77,7.0,2.0,181.0,11.04,23.0,31.0,-5.1,-0.8,-1.6,OTT,558.97,5.0,5.0,116.0,6.75,23.0,5.0,3.9,0.6,1.2,3.5407317073170700,3.417764227642280,2.272235772357720,0.9785932721712540
