"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Travis Sanheim","22-23","PHI","D",81,1653,-3.8,-3,-1.1,1.9,0.8,0.3,-4.9,-1,1.1,-4.8,-0.8,-1.5
"Trent Frederic","22-23","BOS","C",79,941.1,6.9,2.7,0,0.3,0.5,-0.1,6.8,3,0.5,10.3,1.7,3.3
"Trevor Lewis","22-23","CGY","C",82,993.9,-2.9,3.1,0.5,-2,0.7,-1.6,-2.5,1.1,-0.9,-2.3,-0.4,-0.7
"Trevor Moore","22-23","L.A","C/L",59,1002.1,-2.1,3,3.7,0.3,0.8,0.1,1.6,3.3,0.8,5.7,1,1.8
"Trevor Van Riemsdyk","22-23","WSH","D",75,1429.9,7.9,1.9,0.5,-0.3,2.5,-0.3,8.4,1.6,2.2,12.3,2.1,4
"Trevor Zegras","22-23","ANA","C",81,1525.6,8.5,-7.9,0.3,0,-1.2,0.9,8.7,-7.9,-0.3,0.6,0.1,0.2
"Trey Fix-Wolansky","22-23","CBJ","R",9,116.5,-1,0.6,-0.2,0,0.3,-0.1,-1.1,0.6,0.2,-0.3,-0.1,-0.1
"Troy Stecher","22-23","ARI","D",61,1035.8,-6.6,-0.5,0,0.1,0.2,0.1,-6.6,-0.4,0.3,-6.7,-1.1,-2.2
"Troy Stecher","22-23","CGY","D",20,290.1,0.9,-3.8,0,0,-0.3,-0.1,0.9,-3.8,-0.4,-3.3,-0.6,-1.1
"Troy Terry","22-23","ANA","R",70,1356.1,9.7,-0.8,0.5,-0.2,1,3.7,10.2,-0.9,4.7,13.9,2.4,4.5
"Ty Dellandrea","22-23","DAL","C",82,1164.4,3.8,2.5,0,2.1,-1,1.4,3.8,4.6,0.4,8.8,1.5,2.9
"Ty Smith","22-23","PIT","D",9,181.8,0,0.6,-0.9,0,0,0.2,-0.9,0.6,0.2,-0.1,0,0
"Tyler Bertuzzi","22-23","BOS","L",21,346.5,2.9,-1.3,0.9,0,0.2,-0.3,3.8,-1.3,-0.1,2.4,0.4,0.8
"Tyler Bertuzzi","22-23","DET","L",29,477.9,1.6,-0.1,4.3,0,0.7,0.1,5.9,-0.1,0.8,6.7,1.1,2.2
"Tyler Johnson","22-23","CHI","C",56,927.5,1,0.1,-1.1,-0.1,0.7,-1,-0.1,0,-0.3,-0.4,-0.1,-0.1
"Tyler Kleven","22-23","OTT","D",8,117.5,0.6,1.5,-0.1,0,0.1,0,0.5,1.5,0.1,2.2,0.4,0.7
"Tyler Motte","22-23","NYR","C/L",24,265.5,0.4,-0.1,0,0.2,0.4,0.7,0.4,0,1.2,1.6,0.3,0.5
"Tyler Motte","22-23","OTT","C/L",38,514,0.1,-2.4,0.3,-1.9,0.8,1.8,0.3,-4.3,2.6,-1.4,-0.2,-0.5
"Tyler Myers","22-23","VAN","D",78,1630.8,0.7,0.5,0.2,-2.9,-1.6,-1.2,0.9,-2.4,-2.8,-4.3,-0.7,-1.4
"Tyler Pitlick","22-23","STL","C",61,614.6,1.3,1,0,-0.3,0.1,0.8,1.3,0.7,0.9,3,0.5,1
