player_name,age,contract_type,Final_Contract_Term
mark friedman,29.1,1,1
mason appleton,29.0,1,3
mason lohrei,24.0,0,1
mason mctavish,21.9,0,4
mason shaw,26.2,0,1
matej blumel,24.6,0,1
mathieu olivier,27.9,1,1
matt duchene,34.0,1,4
matt kiersted,26.8,1,1
matt martin,35.7,1,1
matt nieto,32.2,1,1
matthew highmore,28.9,1,1
matthew knies,22.2,0,1
matthew phillips,26.8,1,1
max pacioretty,36.2,1,2
max willman,29.9,1,1
maxence guenette,23.8,0,1
maxime lajoie,27.2,1,1
maxwell crozier,24.8,0,1
michael carcone,28.7,1,1
michael eyssimont,28.3,1,1
michael pezzetta,26.8,1,1
michael sgarbossa,32.5,1,1
mikael granlund,32.9,1,4
mike reilly,31.5,1,1
mikko rantanen,28.2,1,6
milos kelemen,25.5,0,1
mitch marner,27.7,1,6
morgan barron,26.1,0,2
morgan frost,25.7,0,1
morgan geekie,26.5,1,3
nate schmidt,33.5,1,1
nathan bastian,27.1,1,2
neal pionk,29.4,1,4
nic dowd,34.7,1,1
nicholas robertson,23.3,0,1
nick bjugstad,32.5,1,3
nick cousins,31.5,1,1
nick desimone,30.2,1,1
nick perbix,26.6,1,1
nicklas backstrom,37.2,1,3
nico sturm,29.7,1,3
nicolas aube-kubel,28.7,1,2
nicolas hague,26.1,0,3
nikita alexandrov,24.3,0,1
nikita nesterenko,23.3,0,1
nikolaj ehlers,28.9,1,4
nils lundkvist,24.5,0,1
noah cates,25.9,0,4
noah dobson,25.0,0,4
noah gregor,27.0,1,1
noah juulsen,27.8,1,1
oliver kylington,27.7,1,1
oliver wahlstrom,24.6,0,1
olle lycksell,25.4,0,1
olli maatta,30.4,1,4
parker wotherspoon,27.5,1,1
patrick brown,32.6,1,1
patrick kane,36.2,1,2
patrick maroon,36.8,1,1
philip tomasino,23.5,0,1
philipp kurashev,25.2,0,3
phillip di giuseppe,31.2,1,1
pierre-olivier joseph,25.5,0,1
pius suter,28.7,1,2
pontus holmberg,25.8,0,1
radek faksa,31.0,1,4
rafael harvey-pinard,26.0,0,1
raphael lavoie,24.3,0,1
rasmus asplund,27.1,0,1
rasmus kupari,24.8,0,1
reese johnson,26.5,0,1
reilly smith,33.8,1,4
riley stillman,26.8,1,1
riley tufte,26.8,1,1
robby fabbri,29.0,1,4
robert bortuzzo,35.8,1,1
robert hagg,29.9,1,1
ryan donato,28.8,1,3
ryan lindgren,26.9,1,4
ryan mcleod,25.3,0,3
ryan shea,27.9,1,1
ryan suter,40.0,1,1
ryker evans,23.1,0,1
sam bennett,28.6,1,4
sam malinski,26.5,0,1
sam steel,26.9,1,1
samuel bolduc,24.1,0,1
samuel fagemo,24.8,0,1
samuel walker,25.6,0,1
santeri hatakka,24.0,0,1
scott perunovich,26.4,1,1
sean farrell,23.2,0,1
sean kuraly,32.0,1,3
shakir mukhamadullin,23.0,0,1
simon holmstrom,23.7,0,1
steven lorentz,28.8,1,1
steven santini,29.8,1,1
t.j. oshie,38.1,1,3
tanner jeannot,27.6,1,4
tanner pearson,32.4,1,1
taylor hall,33.2,1,4
taylor raddysh,26.9,1,1
thomas bordeleau,23.0,0,1
tobias bjornfot,23.8,0,1
tomas nosek,32.3,1,1
tomas tatar,34.1,1,3
travis boyd,31.3,1,1
travis dermott,28.1,1,1
travis hamonic,34.4,1,1
trent frederic,26.9,1,3
trevor lewis,38.0,1,1
trey fix-wolansky,25.7,0,1
ty emberson,24.7,1,1
ty smith,24.8,0,1
tye kartye,23.7,0,1
tyler kleven,23.0,0,1
tyler motte,29.8,1,1
tyler tucker,24.8,0,1
tyson barrie,33.5,1,1
tyson foerster,23.0,0,1
tyson jost,26.8,1,1
urho vaakanainen,26.0,0,1
victor olofsson,29.5,1,1
vinni lettieri,29.9,1,1
vladislav gavrikov,29.2,1,4
vladislav namestnikov,32.2,1,3
walker duehr,27.2,1,1
will cuylle,22.7,0,1
william borgen,28.1,1,3
william lockwood,26.6,1,1
wyatt johnston,21.7,0,1
wyatt kaiser,22.4,0,1
yanni gourde,33.1,1,4
zac dalpe,35.2,1,1
zach aston-reese,30.4,1,1
zach sanford,30.2,1,1
